patent_id,title,filing_date,year,abstract
10000000,Coherent LADAR using intra-pixel quadrature detection,2018-06-19,2018,
10000001,Injection molding machine and mold thickness control method,2018-06-19,2018,
10000002,Method for manufacturing polymer film and co-extruded film,2018-06-19,2018,
10000003,Method for producing a container from a thermoplastic,2018-06-19,2018,
10000004,"Process of obtaining a double-oriented film, co-extruded, and of low thickness made by a three bubble process that at the time of being thermoformed provides a uniform thickness in the produced tray",2018-06-19,2018,
10000005,Article vacuum formation method and vacuum forming apparatus,2018-06-19,2018,
10000006,Thermoforming mold device and a process for its manufacture and use,2018-06-19,2018,
10000007,PEX expanding tool,2018-06-19,2018,
10000008,Bracelet mold and method of use,2018-06-19,2018,
10000009,Sterile environment for additive manufacturing,2018-06-19,2018,
10000010,3-D electrostatic printer using rack and pinion registration system,2018-06-19,2018,
10000011,Supports for sintering additively manufactured parts,2018-06-19,2018,
10000014,Method for producing thermoplastic foam panels by means of at least two heating elements offset in parallel with each other,2018-06-19,2018,
10000015,"Methods for making optical components, optical components, and products including same",2018-06-19,2018,
10000016,Film edge sealing device,2018-06-19,2018,
10000017,Method for mounting a vortex generator and mounting apparatus for carrying out the method,2018-06-19,2018,
10000018,Pull tab design for stretch release adhesive,2018-06-19,2018,
10000019,Installation assembly and associated method for forming a bonded joint,2018-06-19,2018,
10000020,Method and device for producing areas in a printed object having different coefficients of friction,2018-06-19,2018,
10000021,Method for manufacturing three-dimensional shaped object and three-dimensional shaped object obtained by the same,2018-06-19,2018,
10000022,Method for processing PAEK and articles manufactured from the same,2018-06-19,2018,
10000023,Apparatus and method for forming three-dimensional objects using linear solidification,2018-06-19,2018,
10000024,Apparatus and method for control of three-dimensional printing,2018-06-19,2018,
10000025,Optimized cross-ply orientation in composite laminates,2018-06-19,2018,
10000026,Composite induction consolidation apparatus and method,2018-06-19,2018,
10000027,Apparatus and method for reshaping plastic preforms into plastic containers with an automatic changing device for handling parts,2018-06-19,2018,
10000028,Mechanical fastening nets and methods of making the same,2018-06-19,2018,
10000029,Transmission belt manufacturing method and transmission belt,2018-06-19,2018,
10000030,Manufacturing method of pneumatic tire,2018-06-19,2018,
10000031,Method for contour shaping honeycomb structures,2018-06-19,2018,
10000032,Method for operating a press with an underneath drive and press operated according thereto,2018-06-19,2018,
10000033,"Washable, waterproof, sealable and reusable storage bags",2018-06-19,2018,
10000034,Envelope Making Plate,2018-06-19,2018,
10000035,"Lightweight, high flow hose assembly and method of manufacture",2018-06-19,2018,
10000036,High kinetic energy penetrator shielding and high wear resistance materials fabricated with boron nitride nanotubes (BNNTS) and BNNT polymer composites,2018-06-19,2018,
10000037,Transparent laminate and protective tool including the same,2018-06-19,2018,
10000038,Alloy plate coated material and method of producing alloy plate coated material,2018-06-19,2018,
10000039,Multilayer interlayers having high Tg and high modulus,2018-06-19,2018,
10000040,"Floor panel, methods for manufacturing laminate panels and method for treating material sheets applied herewith",2018-06-19,2018,
10000041,Method for making a decorative multilaminar veneer,2018-06-19,2018,
10000042,Tearable polystyrene film laminate for packaging and pouch purposes,2018-06-19,2018,
10000043,Multilayer film for resealable packaging having improved resealing,2018-06-19,2018,
10000044,"Panel for making furnishings such as doors, boards, tables, furniture or the like",2018-06-19,2018,
10000045,"Multilayer tube for fuel transportation, fuel pump module provided with same, use of same, and use of fuel pump module",2018-06-19,2018,
10000046,Methods for creating thick laminate structures,2018-06-19,2018,
10000047,Method for manufacturing curved liquid crystal display panel,2018-06-19,2018,
10000048,Taping tool having improved tape advance,2018-06-19,2018,
10000049,Methods and apparatus for applying protective films,2018-06-19,2018,
10000050,"Method for the manufacture of a fibre composite component, a reinforcement element and also a fibre composite component",2018-06-19,2018,
10000051,System and method for removing three-dimensional printed parts from a platen using inductive heating and gravity,2018-06-19,2018,
10000052,Methods for rejuvenating an imaging member of an ink-based digital printing system,2018-06-19,2018,
10000053,Web displacer for a printing unit,2018-06-19,2018,
10000054,"Sheet-processing machine having a sheet-guiding drum, and method for producing a gripper system",2018-06-19,2018,
10000055,Method for operating a printing press,2018-06-19,2018,
10000056,Screen printing apparatus and paste kneading method,2018-06-19,2018,
10000057,Controlling nozzles in a print head,2018-06-19,2018,
10000058,"Liquid ejecting apparatus, drive circuit, and integrated circuit",2018-06-19,2018,
10000059,Printing apparatus and transmission cable,2018-06-19,2018,
10000060,Liquid ejecting head and liquid ejecting apparatus,2018-06-19,2018,
10000061,"Piezoelectric device, liquid ejecting head, and liquid ejecting apparatus",2018-06-19,2018,
10000062,Liquid ejecting apparatus,2018-06-19,2018,
10000063,Liquid containing member,2018-06-19,2018,
10000064,Cartridge having contact parts for fastening cartridge to holder,2018-06-19,2018,
10000065,Inkjet printing system having dynamically controlled ink reservoir,2018-06-19,2018,
10000066,"Liquid discharge head, liquid discharge device, and liquid discharge apparatus",2018-06-19,2018,
10000067,"Ink, inkjet recording method, and inkjet recorded matter",2018-06-19,2018,
10000068,Multi-drop inkjet printing apparatus,2018-06-19,2018,
10000069,Thermal transfer printer,2018-06-19,2018,
10000070,Printer and printer control method,2018-06-19,2018,
10000071,"Ribbon feeding apparatus, and tape printing apparatus equipped with the same",2018-06-19,2018,
10000072,Printer and printing jig,2018-06-19,2018,
10000073,Apparatus and method for printing on a curved glass surface,2018-06-19,2018,
10000074,Writing to an electronic imaging substate,2018-06-19,2018,
10000075,Multilayer imaging with a high-gloss clear ink layer,2018-06-19,2018,
10000076,Drying device and inkjet printer system including drying device,2018-06-19,2018,
10000078,Printer apparatus,2018-06-19,2018,
10000079,Printing device including holder supporting platen roller through bearings,2018-06-19,2018,
10000080,Random wave mask generation,2018-06-19,2018,
10000081,Transfer sheet,2018-06-19,2018,
10000082,Stamp with built-in leveling feature,2018-06-19,2018,
10000083,Thermosensitive recording medium,2018-06-19,2018,
10000084,Ink set and recording method,2018-06-19,2018,
10000085,Device and method for transferring flowable printing substances onto a printing material,2018-06-19,2018,
10000086,Binding device,2018-06-19,2018,
10000087,Method for detachable poster hanging and magnetic poster holder device,2018-06-19,2018,
10000088,Writing instrument and ink cartridge,2018-06-19,2018,
10000089,Multi-color marker,2018-06-19,2018,
10000090,Pneumatic radial tire for passenger vehicle,2018-06-19,2018,
10000091,Tire comprising a tread made up of several elastomeric compounds,2018-06-19,2018,
10000092,Pneumatic tire,2018-06-19,2018,
10000093,Tread protection device,2018-06-19,2018,
10000094,Heavy duty pneumatic tire,2018-06-19,2018,
10000095,Pneumatic tire with dimples on one or both sidewall outer surfaces,2018-06-19,2018,
10000096,Pneumatic tire,2018-06-19,2018,
10000097,Electrostatic energy generator using tire cord fabric,2018-06-19,2018,
10000098,"Tire pressure measurement device, an integrated circuit, a printed circuit board, a method and a computer program for a vehicle to receive data",2018-06-19,2018,
10000099,Tire pressure monitoring unit having a two-component housing,2018-06-19,2018,
10000100,Piezoelectric based system and method for determining tire load,2018-06-19,2018,
10000101,Machine for fitting and removing a tyre and method for operating the machine,2018-06-19,2018,
10000102,Tunable compact spring aid,2018-06-19,2018,
10000103,Method of controlling a vehicle active suspension system,2018-06-19,2018,
10000104,Damper with integrated electronics,2018-06-19,2018,
10000105,Ventilation duct for a motor vehicle,2018-06-19,2018,
10000106,Heating device for vehicle,2018-06-19,2018,
10000107,Vehicle air conditioner,2018-06-19,2018,
10000108,Refrigeration cycle device,2018-06-19,2018,
10000109,Vehicle air conditioning system,2018-06-19,2018,
10000110,Air conditioning system for motor vehicles,2018-06-19,2018,
10000111,Garnish and frame molding apparatus and method of producing a vehicle door,2018-06-19,2018,
10000112,Pelvic load management using integrated collapsible features in door trim panel,2018-06-19,2018,
10000113,Tonneau cover securing mechanism,2018-06-19,2018,
10000114,Truck cap with heavy duty mounting rack,2018-06-19,2018,
10000115,Method of operating a transmission,2018-06-19,2018,
10000116,Fuel filling aperture opening and closing device,2018-06-19,2018,
10000117,Filler neck closure assembly,2018-06-19,2018,
10000118,Clutch control device for four-wheel-drive vehicle,2018-06-19,2018,
10000119,Constant velocity drive assembly,2018-06-19,2018,
10000120,Work vehicle,2018-06-19,2018,
10000121,Vehicle computer system with transparent display,2018-06-19,2018,
10000122,Method for operating parallel auxiliary converters in a rail vehicle,2018-06-19,2018,
10000123,Hybrid vehicle,2018-06-19,2018,
10000124,"Independent steering, power, torque control and transfer in vehicles",2018-06-19,2018,
10000125,Power supply apparatus and method for hybrid vehicle,2018-06-19,2018,
10000126,Power-module assembly and method,2018-06-19,2018,
10000127,Parallel charging and power supply system for pure electric vehicle,2018-06-19,2018,
10000128,Method and apparatus for parking lot metering using activation codes,2018-06-19,2018,
10000129,Electric vehicle charging via grid and engine,2018-06-19,2018,
10000130,Charging management system and method for charger of electric vehicle,2018-06-19,2018,
10000131,Systems for determining relative position and orientation of a vehicle with respect to a charging station,2018-06-19,2018,
10000132,Charging indicator light control,2018-06-19,2018,
10000133,Systems and methods for identifying an ideal operation frequency for wireless power transfer,2018-06-19,2018,
10000134,Wireless charging system for charging vehicular battery,2018-06-19,2018,
10000135,Parking assist device,2018-06-19,2018,
10000136,Vehicle and charging control method of the vehicle,2018-06-19,2018,
10000137,Hybrid vehicle with means for disconnection of a depleted auxiliary battery in order to allow for more rapid main battery charging,2018-06-19,2018,
10000138,Cooling device of onboard secondary battery,2018-06-19,2018,
10000139,Safety system of fuel cell vehicle and control method for the same,2018-06-19,2018,
10000140,Method of controlling air blower of fuel cell vehicle,2018-06-19,2018,
10000141,Method and system for controlling fuel cell vehicle,2018-06-19,2018,
10000142,Head and neck restraining system,2018-06-19,2018,
10000143,Debris catching system for a child seat,2018-06-19,2018,
10000144,Hopper transportable in parts and assembly method,2018-06-19,2018,
10000145,Air bag system for lifting trailer platforms,2018-06-19,2018,
10000146,Adjustable and collapsible apparatus for loading and unloading pickup truck cargo beds,2018-06-19,2018,
10000147,Retractable recreational vehicle skirting,2018-06-19,2018,
10000148,Strap winding apparatus and method,2018-06-19,2018,
10000149,Container-securing device,2018-06-19,2018,
10000150,Lighting circuit and vehicle lamp,2018-06-19,2018,
10000151,Motor vehicle lighting device,2018-06-19,2018,
10000152,External audio alert system and method for vehicular use,2018-06-19,2018,
10000153,System for object indication on a vehicle display and method thereof,2018-06-19,2018,
10000154,Vehicle camera system having live video indication,2018-06-19,2018,
10000155,Method and device for reproducing a lateral and/or rear surrounding area of a vehicle,2018-06-19,2018,
10000156,Vehicle mirror mount assembly,2018-06-19,2018,
10000157,Controlling dimming of mirrors or displays using dual-function lighting,2018-06-19,2018,
10000158,Bag for storing and holding electronic and non-electronic items,2018-06-19,2018,
10000159,Storage bin system for a motor vehicle,2018-06-19,2018,
10000160,Vehicle article carrier with integrated camera and solar powered lighting,2018-06-19,2018,
10000161,Mounting structure for truck box side,2018-06-19,2018,
10000162,"Speaker device for vehicle, and vehicle having the speaker device",2018-06-19,2018,
10000163,Apparatus and method for restoring a camera mounting to a calibrated position,2018-06-19,2018,
10000164,Vehicle camera peripheral,2018-06-19,2018,
10000165,Pickup truck mounted toolbox,2018-06-19,2018,
10000166,Scoop for a water container built into the dividing wall,2018-06-19,2018,
10000167,Wire harness,2018-06-19,2018,
10000168,Vehicle electrical system and method for operating a vehicle electrical system,2018-06-19,2018,
10000169,"Power control apparatus, vehicle having the same, and method of controlling vehicle",2018-06-19,2018,
10000170,Bumper beam with embossed cover,2018-06-19,2018,
10000171,Vehicle energy-absorbing device,2018-06-19,2018,
10000172,Detecting hazards in anticipation of opening vehicle doors,2018-06-19,2018,
10000174,Head protection airbag device,2018-06-19,2018,
10000175,Driver airbag cover with emblem,2018-06-19,2018,
10000176,Vehicle seat part,2018-06-19,2018,
10000177,Airbag module,2018-06-19,2018,
10000178,Vehicle curtain airbag device,2018-06-19,2018,
10000179,"Airbag, airbag device, and automobile",2018-06-19,2018,
10000180,Pedestrian protection airbag device,2018-06-19,2018,
10000181,Pretensioner and safety belt assembly including the same,2018-06-19,2018,
10000182,Buckle device,2018-06-19,2018,
10000183,Belt retractor and method for tightening an unused vehicle belt,2018-06-19,2018,
10000184,Webbing take-up device,2018-06-19,2018,
10000185,Pressure unit and end fitting having a pressure unit of this type,2018-06-19,2018,
10000186,Belt assembly including plus-two-point belt reminder,2018-06-19,2018,
10000187,"Vehicle communication system, in-vehicle device, portable device, and computer program",2018-06-19,2018,
10000188,Robotic vehicle with integrated mobility enhancement and mast deployment,2018-06-19,2018,
10000189,Hydraulic jack retrofit for trailer,2018-06-19,2018,
10000190,"Cooling device, and steering bogie and vehicle provided with same",2018-06-19,2018,
10000191,Brake system and method for controlling a brake system,2018-06-19,2018,
10000192,Electro-mechanical brake for increasing braking force,2018-06-19,2018,
10000193,Integrated dynamic brake apparatus,2018-06-19,2018,
10000194,"Method, controller and system for monitoring brake operation",2018-06-19,2018,
10000195,Bicycle control apparatus,2018-06-19,2018,
10000196,Apparatus and method for controlling torque reduction of hybrid electric vehicle,2018-06-19,2018,
10000197,Mild hybrid powertrain controls,2018-06-19,2018,
10000198,Control system and control method,2018-06-19,2018,
10000199,"Hybrid electric vehicle, drive control method and device of the same",2018-06-19,2018,
10000200,Torque reserve in a hybrid system,2018-06-19,2018,
10000201,Driving mode control method and apparatus of hybrid electric vehicle,2018-06-19,2018,
10000202,Device and method for controlling running mode of hybrid electric vehicle,2018-06-19,2018,
10000203,EV mode shift strategy for hybrid vehicle,2018-06-19,2018,
10000204,Apparatus and method for learning touch point of engine clutch of hybrid electric vehicle,2018-06-19,2018,
10000205,Fail-safe control apparatus for hybrid vehicles,2018-06-19,2018,
10000206,Control apparatus for power transmission system,2018-06-19,2018,
10000207,Vehicle hitch detection system and method,2018-06-19,2018,
10000208,Vehicle control apparatus,2018-06-19,2018,
10000209,Vehicle steering control apparatus,2018-06-19,2018,
10000210,Lane recognition apparatus,2018-06-19,2018,
10000211,Vehicle travel control apparatus,2018-06-19,2018,
10000212,Vehicle and method for controlling distance between traveling vehicles,2018-06-19,2018,
10000213,Spare tire detection,2018-06-19,2018,
10000214,Vehicle controls including dynamic vehicle parameter determination,2018-06-19,2018,
10000215,Detection and reconstruction of pitch rate sensor fault,2018-06-19,2018,
10000216,Engaging and disengaging for autonomous driving,2018-06-19,2018,
10000217,"Notification-needed information presenting apparatus, notification-needed information presenting method, and non-transitory computer readable storage medium",2018-06-19,2018,
10000218,Bi-modal traffic system,2018-06-19,2018,
10000219,Rail vehicle with a completely retractable coupling,2018-06-19,2018,
10000220,Brake cylinder with integrated wear adjusting device for rail vehicles,2018-06-19,2018,
10000221,Pit cover,2018-06-19,2018,
10000222,Methods and systems of determining end of train location and clearance of trackside points of interest,2018-06-19,2018,
10000223,Rail track geometry measurement,2018-06-19,2018,
10000224,Handling device for the maintenance of agitator ball mills and method for maintaining an agitator ball mill,2018-06-19,2018,
10000225,Mobile child support device,2018-06-19,2018,
10000226,Infant stroller apparatus,2018-06-19,2018,
10000227,Electric power steering device and method for assembling the same,2018-06-19,2018,
10000228,Steering apparatus,2018-06-19,2018,
10000229,Steering column device,2018-06-19,2018,
10000230,Vehicle for line marking,2018-06-19,2018,
10000231,Device for applying an auxiliary force in a motor vehicle steering system,2018-06-19,2018,
10000232,Steering assist device,2018-06-19,2018,
10000233,Method of controlling an inverter during MOSFET shorts,2018-06-19,2018,
10000234,Steering control apparatus and method of steer-by-wire system,2018-06-19,2018,
10000235,Steering control device,2018-06-19,2018,
10000236,Vehicle control device,2018-06-19,2018,
10000237,Driving support device for vehicle steering systems in lane assist and collision avoidance modes,2018-06-19,2018,
10000238,Modular system,2018-06-19,2018,
10000239,Automobile vehicle body structure,2018-06-19,2018,
10000240,Vehicle high voltage equipment mounting for rear-end collisions,2018-06-19,2018,
10000241,Rocker reinforcement bracket having anti-corrosion holes,2018-06-19,2018,
10000242,Bottom rail assembly for trailers,2018-06-19,2018,
10000243,"Structural body of differing thicknesses, and method of manufacturing thereof",2018-06-19,2018,
10000244,Tiltable cabin,2018-06-19,2018,
10000245,Inflatable panel housing for an aerodynamic fairing assembly,2018-06-19,2018,
10000246,Vehicle with front spoiler,2018-06-19,2018,
10000247,Crawler track,2018-06-19,2018,
10000248,Rotatable robot foot with perpendicular soles,2018-06-19,2018,
10000249,Bicycle pedal,2018-06-19,2018,
10000250,Leaning vehicle with wheel speed sensor,2018-06-19,2018,
10000251,Motorcycle throttle lock cruise control,2018-06-19,2018,
10000252,Swingarm support structure,2018-06-19,2018,
10000253,Bicycle crank assembly,2018-06-19,2018,
10000254,Bicycle pedal,2018-06-19,2018,
10000255,Bicycle drive unit and bicycle equipped with the drive unit,2018-06-19,2018,
10000256,Bicycle sprocket,2018-06-19,2018,
10000257,Watercraft,2018-06-19,2018,
10000258,Vessel with selectively deployable hull members,2018-06-19,2018,
10000259,Suction anchor,2018-06-19,2018,
10000260,Systems and methods for pressure tolerant energy systems,2018-06-19,2018,
10000261,"System, method, and apparatus for stabilizing a boat",2018-06-19,2018,
10000262,"Data-processing device, program, recording medium and data-processing method for generation of data that indicates navigation performance of ship",2018-06-19,2018,
10000263,Underwater system and method,2018-06-19,2018,
10000264,Underwater watercraft,2018-06-19,2018,
10000265,Controlling buoyancy of an underwater vehicle using a dual-internal-reservoir configuration to enhance efficiency of inflating and deflating an external chamber,2018-06-19,2018,
10000266,Aquatic jet propulsion device,2018-06-19,2018,
10000267,Methods for trimming trimmable marine devices with respect to a marine vessel,2018-06-19,2018,
10000268,Systems and methods for controlling a marine vessel having a joystick with adjustable display,2018-06-19,2018,
10000269,Column based electric assist marine power steering,2018-06-19,2018,
10000270,"Moving body control device, moving body control method, and moving body control program",2018-06-19,2018,
10000271,Door construction with gap sealing device and method for sealing a gap between a door and a door frame,2018-06-19,2018,
10000272,Thermal acoustic insulation blankets,2018-06-19,2018,
10000273,Passive load alleviation for a fiber reinforced wing box of an aircraft with a stiffened shell structure,2018-06-19,2018,
10000274,Mitigation of surface discontinuities between flight control surfaces and an airframe of an aircraft,2018-06-19,2018,
10000275,Aircraft hybrid flight control system,2018-06-19,2018,
10000276,"Pushing device, moving mechanism and aircraft",2018-06-19,2018,
10000277,Perforated surface for suction-type laminar flow control,2018-06-19,2018,
10000278,Landing gear for an aircraft comprising an obstacle detector,2018-06-19,2018,
10000279,Retractable landing gear,2018-06-19,2018,
10000280,Device for mounting an aircraft tail wheel,2018-06-19,2018,
10000281,"Control method for controlling a buoyancy system for an aircraft, a buoyancy system, and an aircraft",2018-06-19,2018,
10000282,Aircraft landing gear assembly,2018-06-19,2018,
10000283,Negative spring compensation for elastomeric bearing torque,2018-06-19,2018,
10000284,Collaborative unmanned aerial vehicle for an inventory system,2018-06-19,2018,
10000285,Methods and systems for detecting and resolving failure events when raising and lowering a payload,2018-06-19,2018,
10000286,Pivot bin assembly with lift assist,2018-06-19,2018,
10000287,Drop down overhead galley stowage system,2018-06-19,2018,
10000288,Laterally and recline adjustable aircraft passenger seat,2018-06-19,2018,
10000289,Temperature control gasper apparatus,2018-06-19,2018,
10000290,Electro-expulsive deicing apparatuses comprising at least one standoff,2018-06-19,2018,
10000291,Aircraft evacuation slide,2018-06-19,2018,
10000292,Multipurpose lane divider for evacuation slide,2018-06-19,2018,
10000293,Gas-electric propulsion system for an aircraft,2018-06-19,2018,
10000294,Aircraft fuel tank flammability reduction method and system,2018-06-19,2018,
10000295,Aircraft fuel vent pipe,2018-06-19,2018,
10000296,Electrical control system,2018-06-19,2018,
10000297,Aircraft display systems and methods for generating horizontal situation indicator graphics with enhanced symbology,2018-06-19,2018,
10000298,Metrology system for positioning assemblies,2018-06-19,2018,
10000299,Self-repair structures and methods for making the same,2018-06-19,2018,
10000300,"Device for holding and aligning a useful component, in particular a space travel component",2018-06-19,2018,
10000301,Method for dispensing moist smokeless tobacco,2018-06-19,2018,
10000302,Method of forming a stack of cosmetic pads,2018-06-19,2018,
10000303,Container comprising integral film lid,2018-06-19,2018,
10000304,Method for sanitizing and filling containers,2018-06-19,2018,
10000305,Antioxidant-stabilized joint implants,2018-06-19,2018,
10000306,Variable volume containers useful in pack-off operations,2018-06-19,2018,
10000307,Transporter device and method for conveying objects to be labeled or stamped,2018-06-19,2018,
10000308,Automated labeling method and apparatus,2018-06-19,2018,
10000309,Labelling machine and method,2018-06-19,2018,
10000310,Inner seal with an overlapping partial tab layer,2018-06-19,2018,
10000311,Method and apparatus for constructing pallets,2018-06-19,2018,
10000312,Combination food storage and serving device,2018-06-19,2018,
10000313,Holder with bottle,2018-06-19,2018,
10000314,Container and method for making the same,2018-06-19,2018,
10000315,Collapsible cooler liner,2018-06-19,2018,
10000316,One-way valve for a compressible container and container with such a valve,2018-06-19,2018,
10000317,"Pail, closing ring, and method for assembling a pail",2018-06-19,2018,
10000318,Safety device against excess temperature,2018-06-19,2018,
10000319,Sealable drinking container with air-extracting mechanism for oxygenation suppression,2018-06-19,2018,
10000320,Wine cork with built-in gas activated mini-corkscrew,2018-06-19,2018,
10000321,"Tray system for display, storage and transportation of bottles",2018-06-19,2018,
10000322,Hang tag for displaying an object,2018-06-19,2018,
10000323,Packages and methods for manufacturing packages,2018-06-19,2018,
10000324,Packing bag and manufacturing method for the same,2018-06-19,2018,
10000325,Flexible stand-up pouch container for flowable products,2018-06-19,2018,
10000326,Plastic beer keg,2018-06-19,2018,
10000327,Tip indicator and packaging box equipped with same,2018-06-19,2018,
10000328,Vehicle fuel tank for improved crashworthiness,2018-06-19,2018,
10000329,Thermally insulated shipping container,2018-06-19,2018,
10000330,Modular spray cap,2018-06-19,2018,
10000331,"Bottle change apparatus, substrate treatment apparatus, bottle change method, bottle cap, bottle cap change apparatus and bottle cap change method",2018-06-19,2018,
10000332,Display and distribution package for eggs,2018-06-19,2018,
10000333,Shipping strap assembly for a vibratory screening machine,2018-06-19,2018,
10000334,Liquid holding container,2018-06-19,2018,
10000335,Capsule for preparing beverages,2018-06-19,2018,
10000336,Automated rack unloading apparatus,2018-06-19,2018,
10000337,Apparatus for retrieving units from a storage system,2018-06-19,2018,
10000338,Automated system for transporting payloads,2018-06-19,2018,
10000339,Gravity-fed housing for gasification system,2018-06-19,2018,
10000340,Vented bucket,2018-06-19,2018,
10000341,Conveyor system and method,2018-06-19,2018,
10000342,Conveying device for conveying goods and method for conveying goods,2018-06-19,2018,
10000343,"Vibratory conveying apparatus comprising trough attachment/detachment mechanism, and combination weighing apparatus",2018-06-19,2018,
10000344,Product flow regulator,2018-06-19,2018,
10000345,Conveyor device with flow limiting device,2018-06-19,2018,
10000346,Transporting element for a distributing conveyor of a sorter of a sorting installation,2018-06-19,2018,
10000347,Adjustable multi-hole orifice in a pneumatic conveying apparatus,2018-06-19,2018,
10000348,Assembly comprising a pallet lift and a palletizing device,2018-06-19,2018,
10000349,Drive transmission device and sheet conveying device and image forming apparatus provided with same,2018-06-19,2018,
10000350,Conveyor and recording apparatus including same,2018-06-19,2018,
10000351,Splicer device,2018-06-19,2018,
10000352,Electronic component supply apparatus and electronic component supply method,2018-06-19,2018,
10000353,Air vortex assisted sheet flipping device,2018-06-19,2018,
10000354,Conveyance apparatus and image recording apparatus,2018-06-19,2018,
10000355,Sheet processing device and image forming device provided with the sheet processing device,2018-06-19,2018,
10000356,Apparatus and method for a free-spinning wire dispensing reel,2018-06-19,2018,
10000357,Passive tensioning system for composite material payout control,2018-06-19,2018,
10000358,Rapid deployment frac water transfer system,2018-06-19,2018,
10000359,Collapsible cord spool,2018-06-19,2018,
10000360,Resizable cord holder for storing and unwinding cord bundles,2018-06-19,2018,
10000361,Hose winding device,2018-06-19,2018,
10000362,Elevator control device,2018-06-19,2018,
10000363,Pipe flange lifting apparatus,2018-06-19,2018,
10000364,Vehicle with winch,2018-06-19,2018,
10000365,Pulley for high-efficiency winch,2018-06-19,2018,
10000366,Brake torque control,2018-06-19,2018,
